institution_name,country
"*Center for Shark Research, Mote Marine Laboratory, 1600 Thompson Parkway,",
"*CenterforSharkResearch,MoteMarineLaboratory,1600ThompsonParkway,Sarasota,Florida34236;",
"*Central Marine Fisheries Research Institute, P. O. Box 1603, Ernakulam North,",
"*Centre for Environment, Fisheries and Aquaculture Science (CEFAS), Lowestoft Laboratory,",
"*Centre for Environment, Fisheries and Aquaculture Science (CEFAS), Pakefield Road,",
"*Centre for Microscopy and Microanalysis, The University of Queensland, Brisbane 4072,",
*Centre for Sustainable Tropical Fisheries and Aquaculture & School of Earth and,
"*CentreforEnvironment,FisheriesandAquacultureScience(Cefas),LowestoftLaboratory,Pake¢eldRoad,",
"*College of Marine Sciences, Shanghai Ocean University, Shanghai 201306, China, †Key",China
"*CollegeofNaturalandSocialSciences,UniversityofMaineatAugusta,Augusta,ME,",
"*Correspondence to: Georgina K. Cox, Department of Zoology,",
"*Correspondence to: Gonzalo Araujo, Large Marine Vertebrates Research Institute Philippines, Cagulada Compound, Jagna, Bohol, 6308,",Philippines
"*Correspondence to: J. M. Whitty, Freshwater Fish Group and Fish Health Unit, School of Veterinary and Life Sciences, Murdoch University,",
"*Correspondence to: K. James Soda; Florida State University,",
"*Correspondence to: Katharine E. Criswell, Department of",
"*Correspondence to: L. Schiller, Sea Around Us Project, Fisheries Centre, University of British Columbia, Vancouver, BC, V6T 1Z4, Canada.",Canada
"*Correspondence to: Lisa D. Hollensead, Department of Biology and Marine Biology, University of North Carolina-Wilmington, 601 South",
"*Correspondence to: Marianne E. Porter, Biology Department,",
"*Correspondence to: Matthew F. Bonnan, Department of Bio- interscience.wiley.com).",
"*Correspondence to: N. K. Dulvy, Department of Biological Sciences, Simon Fraser University, Burnaby, BC V5A 1S5, Canada.",Canada
*Correspondence to: Oliver Franklin; Department of Integrative,
"*Correspondence to: Philip Motta, Department of Integrative",
"*Correspondence to: Stephen M. Kajiura, Department of Biologi-",
"*Correspondence to: Taketeru Tomita, Okinawa Churashima Research Center, Okinawa",
"*Correspondence: 2Department of Marine Biology and Ecology, Rosenstiel School of Marine,",
"*Correspondence: SouthAfrica,13CapeResearchandDiverDevelopment,Simon’sTown,SouthAfrica,14OceansResearchInstitute,Mossel",
"*Correspondence: TheUniversityofSydney,Sydney,NSW,Australia,3NewSouthWalesDepartmentofPrimaryIndustries,Fisheries,Sydney",Australia
"*Correspondence:JuliaSpaet,BostonUniversityMarineProgram,5,CummingtonStreet,BRB307,BostonMA02215,USA.E-mail:",USA
"*Correspondence:NicholasM.Whitney,Center",
"*Correspondenceto:B.W.Cribb,CentreforMicroscopyandMicroanalysis,",
"*Correspondenceto:DonaldA.Croll,CoastalConservationActionLab,UniversityofCalifornia,SantaCruz,100ShafferRoad.SantaCruz,CA",
"*Correspondenceto:EricGilman,HawaiiPacificUniversity,3661LouluStreet,Honolulu,Hawaii96822USA.E-mail:FisheriesResearchGroup@gmail.com",USA
"*Correspondenceto:F.Neat,MarineScotland-Science,MarineLaboratory,POBox101,Aberdeen,AB119DB,UK.E-mail:f.neat@marlab.ac.uk",UK
"*Correspondenceto:J.D.Waters,FloridaProgramforSharkResearch,FloridaMuseumofNaturalHistory,UniversityofFlorida,Gainesville,FL",
"*Correspondenceto:KateMcClellanPress,DepartmentofEnvironmentalConservation,UniversityofMassachusettsAmherst,Amherst,MA,USA.",USA
*Correspondenceto:KerinM.Claeson;DepartmentofBiomedical,
"*Correspondenceto:MalcolmP.Francis,NationalInstituteofWater&AtmosphericResearch,PrivateBag14901,Wellington,NewZealand.",
"*Correspondenceto:NicholasA.J.Graham,ARCCentreofExcellenceforCoralReefStudies,JamesCookUniversity,Townsville,Queensland",
"*Correspondenceto:PeterYates,Building34,JamesCookUniversity,Townsville,Queensland4814,Australia.",Australia
"*Correspondenceto:Prof.T.Lingham-Soliar,DepartmentofZool-",
"*Correspondenceto:SimonJ.Pierce,MantaRayandWhaleSharkResearchCentre,MarineMegafaunaAssociation,PraiadoTofo,Inhambane,",
"*Correspondenceto:SusannaPiovano,TheUniversityoftheSouthPacific,SchoolofBiologicalandChemicalSciences,Laucalacampus,privatemail",USA
*Corresponding author. Present address: Center for Shark onthestatusofpopulationsisessentialsothatresource,
"*Corresponding author: ARC Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, QLD 4811, Australia.",Australia
"*Corresponding author: Department of Zoology, University of British Columbia, 6270 University Boulevard, Vancouver, BC, Canada V6T 1Z4.",Canada
"*Corresponding author: Museum of Comparative Zoology, Harvard University, Cambridge, MA 02138, USA. Tel: +1 617 496 7199.",USA
"*Corresponding author: School of Biological Sciences, Flinders University, Sturt Road, Adelaide, SA 5042, Australia. Tel: +61 88201 3490.",Australia
"*Corresponding author:Stephen M. Kajiura, Ecology and Evolutionary Biology, University of California Irvine, 321 Steinhaus Hall,",
"*Correspondingauthor.Address:LaboratoryofBiology,Aichi",
"*Correspondingauthor.Currentaddress:TheSchoolfor (Ratnasingham&Hebert,2007),althoughtheseshould",
"*Correspondingauthor.DepartmentofFundamentalBiology,Universi-",
"*Correspondingauthor:DepartmentofBiologicalScience,FloridaStateUniversity,4004KingBuilding,Tallahassee,FL32306-1100,USA.",USA
"*Correspondingauthor:DepartmentofBiology,MountAllisonUniversity,Sackville,NewBrunswick,CanadaE4L1G7.Tel:+1-506-364-2260.",Canada
"*Correspondingauthor:RosenstielSchoolofMarineandAtmosphericScience,UniversityofMiami,Miami,FL,USA.Email:agallagher@rsmas.miami.edu",USA
"*Department of Biological Sciences, The University, Exeter EX4 4PS. U.K.,",
"*Department of Biological Sciences, University of Manitoba, Winnipeg, MB, R3T 2N2",
"*Department of Biological Sciences, University of Plymouth, Drake Circus,",
"*Department of Biology and Program in Cognitive Science, Vassar College, Poughkeepsie, NY 12604, USA;",USA
"*Department of Biology, 221 Morrill Science Center, University of Massachusetts at Amherst,",
"*Department of Biology, Faculty of Natural Science and Mathematics, University of Split,",
"*Department of Biology, Faculty of Science, University of Zagreb, Rooseveltov trg 6, 10000,",
"*Department of Natural Resources and Environmental Sciences, University of Illinois at",
"*Department of Oceanography, Postgraduate Program in Oceanography, Federal University of",
"*Department of Primary Industry and Fisheries, Aquatic Resource Research Unit, G. P. O",
"*Department of Veterinary Science, University of Melbourne,",
"*Department of Wildlge and Fisheries Sciences, Texas A@M University, College",
"*Department of Zoology and Comparative Physiology, The University, P.O. Box 363, Birmingham",
"*Department of Zoology, College of Biological Science, University of Guelph, Guelph, Ontario, Canada NlG 2Wl",Canada
"*Department of Zoology, University of Hawaii, 2538 The Mall, EDM 152, Honolulu, Hawaii, 96822, USA, †Department of Ecology",USA
"*Department ofBiological Sciences,Macquarie University, Sydney,2109NSW,Australia,†Graduate Schoolof theEnvironment,",Australia
"*Department ofWildlife and Fisheries,Texas A&M University, TAMU2258, College Station,TX 77843-2258,USA, †Virginia",USA
"*Department qf Anatomical Sciences, University of Queensland, St. Lucia. Queensland4 072.",
"*Department qf Parasitolog-v, The Uniz~ersity of Queensland, Brisbane, Queensland 4072,",
"*Departmentof Environmental Biology andFisheries Science, NationalTaiwanOcean",Taiwan
"*DepartmentofLife Sciences, Marine GenomicsLaboratory, Harte Research Institute, Texas A&M University-Corpus Christi,",
"*DepartmentofMedical Genetics, Uppsala University, Box589,S-75123 Uppsala, Sweden;tDepartmentofNeuropharmacology, ResearchInstituteof",Sweden
"*Division of Biological Sciences, University of Missouri, Columbia, Missouri 65211; fFriday Harbor",
"*Earth & Oceanic Sciences Research Institute, Auckland University of Technology, Private",
