"our_journal_name","scimago_title","sjr_score","quartile","h_index","subject_areas","open_access","match_type","match_score","paper_count"
"Northeastern Naturalist","Northeastern Naturalist","0.214","Q4","38","Agricultural and Biological Sciences","No","exact","1.0","9"
"Australian Journal of Zoology","Australian Journal of Zoology","0.374","Q2","52","Agricultural and Biological Sciences","No","exact","1.0","9"
"Acta Zootaxonomica Sinica","Acta Agronomica Sinica (China)","0.278","Q3","30","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","Yes","fuzzy","0.8511","9"
"Pacific Conservation Biology","Pacific Conservation Biology","0.515","Q2","45","Environmental Science","No","exact","1.0","9"
"American Journal of Physiology. Renal Physiology","American Journal of Physiology - Cell Physiology","1.791","Q1","207","Biochemistry, Genetics and Molecular Biology","No","fuzzy","0.9462","9"
"Veterinary Clinical Pathology","Veterinary Clinical Pathology","0.462","Q2","65","Medicine; Veterinary","No","exact","1.0","9"
"New Scientist","New Scientist","0.109","Q4","20","Multidisciplinary","Yes","exact","1.0","9"
"Food Control","Food Control","1.265","Q1","174","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","9"
"New Zealand Journal of Geology and Geophysics","New Zealand Journal of Geology and Geophysics","0.797","Q1","62","Earth and Planetary Sciences","Yes","exact","1.0","9"
"Bulletin of the American Museum of Natural History","Bulletin of the American Museum of Natural History","1.259","Q1","64","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","9"
"American Journal of Physiology. Cell Physiology","American Journal of Physiology - Cell Physiology","1.791","Q1","207","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","8"
"Communications Biology","Communications Biology","2.071","Q1","91","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","8"
"Molecular Ecology Notes","Molecular Ecology","1.707","Q1","264","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","fuzzy","0.85","8"
"Transactions of the American Microscopical Society","Transactions of the American Entomological Society","0.251","Q3","24","Agricultural and Biological Sciences","No","fuzzy","0.88","8"
"Journal of Agricultural and Food Chemistry","Journal of Agricultural and Food Chemistry","1.215","Q1","358","Agricultural and Biological Sciences; Chemistry","No","exact","1.0","8"
"Chemical and Pharmaceutical Bulletin","Chemical and Pharmaceutical Bulletin","0.349","Q3","106","Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","8"
"Endocrinology","Endocrinology","1.308","Q1","289","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","8"
"Trends in Ecology & Evolution","Trends in Ecology and Evolution","4.876","Q1","396","Agricultural and Biological Sciences","No","exact","1.0","8"
"Journal of Experimental Zoology Part B","Journal of Experimental Zoology Part B: Molecular and Developmental Evolution","0.791","Q1","73","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","substring","0.95","8"
"eLife","eLife","3.379","Q1","225","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience","Yes","exact","1.0","8"
"Zoosystematica Rossica","Zoosystematica Rossica","0.623","Q1","12","Agricultural and Biological Sciences","Yes","exact","1.0","8"
"Polish Polar Research","Polish Polar Research","0.159","Q4","36","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","8"
"Functional Ecology","Functional Ecology","1.936","Q1","191","Agricultural and Biological Sciences","No","exact","1.0","8"
"Journal of Food Composition and Analysis","Journal of Food Composition and Analysis","0.844","Q1","148","Agricultural and Biological Sciences","No","exact","1.0","8"
"Zoological Letters","Zoological Letters","0.688","Q1","23","Agricultural and Biological Sciences","Yes","exact","1.0","8"
"Molecular Reproduction and Development","Molecular Reproduction and Development","0.811","Q2","118","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","8"
"Food Webs","Food Webs","0.533","Q2","29","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","8"
"Histology and Histopathology","Histology and Histopathology","0.649","Q2","106","Medicine","No","exact","1.0","8"
"Check List","Check List","0.263","Q3","31","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","8"
"Rapid Communications in Mass Spectrometry","Rapid Communications in Mass Spectrometry","0.358","Q3","152","Chemistry","No","exact","1.0","8"
"Acta Biomaterialia","Acta Biomaterialia","2.007","Q1","261","Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science; Medicine","No","exact","1.0","8"
"Gulf and Caribbean Research","Gulf and Caribbean Research","0.245","Q3","7","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","No","exact","1.0","8"
"Iranian Journal of Fisheries Sciences","Iranian Journal of Fisheries Sciences","0.235","Q4","29","Agricultural and Biological Sciences","No","exact","1.0","8"
"Reviews In Fish Biology and Fisheries","Reviews in Fish Biology and Fisheries","1.753","Q1","119","Agricultural and Biological Sciences","No","exact","1.0","8"
"Journal of Neurochemistry","Journal of Neurochemistry","1.499","Q1","267","Biochemistry, Genetics and Molecular Biology; Neuroscience","No","exact","1.0","8"
"FASEB Journal","FASEB Journal","1.319","Q1","311","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","8"
"Ecologica Montenegrina","Ecologica Montenegrina","0.357","Q2","20","Agricultural and Biological Sciences","Yes","exact","1.0","8"
"Biodiversity Data Journal","Biodiversity Data Journal","0.351","Q2","33","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","8"
"Immunogenetics","Immunogenetics","0.755","Q2","104","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology","No","exact","1.0","8"
"International Journal for Parasitology: Parasites and Wildlife","International Journal for Parasitology: Parasites and Wildlife","0.618","Q1","44","Agricultural and Biological Sciences; Immunology and Microbiology; Medicine","Yes","exact","1.0","8"
"Movement Ecology","Movement Ecology","1.295","Q1","50","Agricultural and Biological Sciences","Yes","exact","1.0","8"
"Journal of Evolutionary Biology","Journal of Evolutionary Biology","0.921","Q1","148","Agricultural and Biological Sciences","No","exact","1.0","8"
"Geology","Geology","2.131","Q1","259","Earth and Planetary Sciences","No","exact","1.0","7"
"Experimental Biology","Experimental Neurobiology","0.753","Q2","34","Medicine; Neuroscience","Yes","fuzzy","0.8889","7"
"Brain Behavior and Evolution","Brain, Behavior and Evolution","0.712","Q3","86","Neuroscience","No","exact","1.0","7"
"Journal of Forensic Sciences","Journal of Forensic Sciences","0.616","Q2","117","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","7"
"Physis","Physis","0.227","Q3","23","Medicine; Social Sciences","Yes","exact","1.0","7"
"Aquaculture","Aquaculture","1.096","Q1","222","Agricultural and Biological Sciences","No","exact","1.0","7"
"Journal of the South African Veterinary Association","Journal of the South African Veterinary Association","0.255","Q3","40","Medicine; Veterinary","Yes","exact","1.0","7"
"Integrative Organismal Biology","Integrative Organismal Biology","0.673","Q1","18","Agricultural and Biological Sciences","Yes","exact","1.0","7"
"Bulletin of the Alabama Museum of Natural History","Bulletin of the Peabody Museum of Natural History","0.242","Q3","23","Agricultural and Biological Sciences","No","fuzzy","0.898","7"
"Evolution","Evolution","1.172","Q1","227","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","7"
"Natural History Bulletin of the Siam Society","Natural History Bulletin of the Siam Society","0.112","Q4","9","Agricultural and Biological Sciences","No","exact","1.0","7"
"Marine Biotechnology","Marine Biotechnology","0.605","Q2","97","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","7"
"Canadian Field-Naturalist","Canadian Field-Naturalist","0.164","Q4","32","Agricultural and Biological Sciences","No","exact","1.0","7"
"Annals of the New York Academy of Sciences","Annals of the New York Academy of Sciences","1.458","Q1","301","Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Neuroscience","No","exact","1.0","7"
"Antarctic Science","Antarctic Science","0.653","Q2","79","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","7"
"Journal of Parasitic Diseases","Journal of Parasitic Diseases","0.349","Q3","37","Immunology and Microbiology","No","exact","1.0","7"
"Acta Scientifica","Acta Scientiae","0.238","Q2","8","Multidisciplinary; Social Sciences","No","fuzzy","0.8667","7"
"Archives of Oral Biology","Archives of Oral Biology","0.63","Q1","109","Biochemistry, Genetics and Molecular Biology; Dentistry; Medicine","No","exact","1.0","7"
"Food Hydrocolloids","Food Hydrocolloids","2.837","Q1","235","Agricultural and Biological Sciences; Chemical Engineering; Chemistry","No","exact","1.0","7"
"Biological Trace Element Research","Biological Trace Element Research","0.81","Q1","110","Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine","Yes","exact","1.0","7"
"International Journal of Osteoarchaeology","International Journal of Osteoarchaeology","0.594","Q1","74","Arts and Humanities; Social Sciences","No","exact","1.0","7"
"Revista Mexicana De Biodiversidad","Revista Mexicana de Biodiversidad","0.311","Q3","36","Agricultural and Biological Sciences","Yes","exact","1.0","7"
"Aquatic Toxicology","Aquatic Toxicology","1.256","Q1","171","Agricultural and Biological Sciences; Environmental Science","No","exact","1.0","7"
"Australian Journal of Biological Sciences","Australian Journal of Political Science","0.476","Q2","44","Social Sciences","No","fuzzy","0.9","7"
"Ecography","Ecography","2.54","Q1","161","Agricultural and Biological Sciences","Yes","exact","1.0","7"
"Journal of Molecular Biology","Journal of Molecular Biology","2.215","Q1","302","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","7"
"Journal of Ethology","Journal of Ethology","0.244","Q3","41","Agricultural and Biological Sciences","No","exact","1.0","7"
"Ecology Letters","Ecology Letters","3.905","Q1","330","Agricultural and Biological Sciences","No","exact","1.0","7"
"Texas Journal of Science","Texas Journal of Science","0.108","Q4","17","Agricultural and Biological Sciences","No","exact","1.0","7"
"Invertebrate Systematics","Invertebrate Systematics","0.719","Q1","60","Agricultural and Biological Sciences","No","exact","1.0","7"
"Journal of Molecular Evolution","Journal of Molecular Evolution","0.818","Q1","140","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","7"
"Placenta","Placenta","0.936","Q1","149","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","7"
"BMC Genomics","BMC Genomics","1.003","Q1","208","Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","7"
"Atti della Società Toscana di Scienze Naturali","Atti della Societa Toscana di Scienze Naturali, Memorie Serie B","0.117","Q4","17","Agricultural and Biological Sciences","Yes","fuzzy","0.8519","7"
"Modern Geology","Modern Theology","0.178","Q2","25","Arts and Humanities","No","fuzzy","0.8966","7"
"Lipids","Lipids","0.512","Q2","134","Biochemistry, Genetics and Molecular Biology; Chemistry","No","exact","1.0","7"
"Acta Zoologica","Acta Zoologica","0.368","Q2","44","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","6"
"Ocean and Coastal Research","Ocean and Coastal Research","0.301","Q3","38","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","6"
"Journal of Functional Foods","Journal of Functional Foods","0.837","Q1","143","Agricultural and Biological Sciences; Medicine; Nursing","Yes","exact","1.0","6"
"BioScience","BioScience","2.365","Q1","250","Agricultural and Biological Sciences","No","exact","1.0","6"
"Ices Journal of Marine Science","ICES Journal of Marine Science","1.058","Q1","145","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","6"
"Acta Histochemica","Acta Histochemica","0.685","Q2","62","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","6"
"Zoosystematics and Evolution","Zoosystematics and Evolution","0.487","Q2","29","Agricultural and Biological Sciences","Yes","exact","1.0","6"
"Earth and Environmental Science Transactions of the Royal Society of Edinburgh","Earth and Environmental Science Transactions of the Royal Society of Edinburgh","0.424","Q2","70","Earth and Planetary Sciences; Environmental Science","No","exact","1.0","6"
"Zoologia","Zoologia","0.301","Q3","43","Agricultural and Biological Sciences","Yes","exact","1.0","6"
"Mitteilungen aus dem Museum für Naturkunde in Berlin","Mitteilungen aus dem Museum fur Naturkunde in Berlin - Deutsche Entomologische Zeitschrift","0.461","Q2","21","Agricultural and Biological Sciences","Yes","substring","0.95","6"
"Fossil Record","Fossil Record","0.536","Q2","26","Earth and Planetary Sciences","Yes","exact","1.0","6"
"Environmental Monitoring and Assessment","Environmental Monitoring and Assessment","0.69","Q2","152","Environmental Science; Medicine","No","exact","1.0","6"
"Brain Research Bulletin","Brain Research Bulletin","1.068","Q2","149","Neuroscience","Yes","exact","1.0","6"
"Frontiers in Immunology","Frontiers in Immunology","1.941","Q1","259","Immunology and Microbiology; Medicine","Yes","exact","1.0","6"
"Proceedings of the Zoological Society of London","Proceedings of the Zoological Society","0.284","Q3","20","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology","No","fuzzy","0.881","6"
"Marine Genomics","Marine Genomics","0.525","Q2","45","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","6"
"Journal of the Geological Society of India","Journal of the Geological Society of India","0.308","Q3","61","Earth and Planetary Sciences","No","exact","1.0","6"
"Journal of Chemical Neuroanatomy","Journal of Chemical Neuroanatomy","0.79","Q3","91","Neuroscience","No","exact","1.0","6"
"Proceedings of the Yorkshire Geological Society","Proceedings of the Yorkshire Geological Society","0.38","Q2","24","Earth and Planetary Sciences","No","exact","1.0","6"
"Ethology","Ethology","0.566","Q1","88","Agricultural and Biological Sciences","No","exact","1.0","6"
"Oceanologia et Limnologia Sinica","Oceanologia et Limnologia Sinica","0.198","Q4","17","Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science","No","exact","1.0","6"
"Species Diversity","Species Diversity","0.256","Q3","8","Agricultural and Biological Sciences","Yes","exact","1.0","6"
"GFF","GFF","0.378","Q3","46","Earth and Planetary Sciences","No","exact","1.0","6"
"Journal of Neurophysiology","Journal of Neurophysiology","0.832","Q2","273","Biochemistry, Genetics and Molecular Biology; Neuroscience","No","exact","1.0","6"
"Environmental Management","Environmental Management","0.849","Q1","148","Environmental Science","Yes","exact","1.0","6"
"Journal of Membrane Biology","Journal of Membrane Biology","0.7","Q2","108","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","6"
"Journal of Food Biochemistry","Journal of Food Biochemistry","0.82","Q1","70","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","6"
"Mercian Geologist","Mercian Geologist","0.112","Q4","11","Earth and Planetary Sciences","No","exact","1.0","6"
"Ocean Science Journal","Ocean Science Journal","0.455","Q2","31","Earth and Planetary Sciences","No","exact","1.0","6"
"Biochemical Systematics and Ecology","Biochemical Systematics and Ecology","0.355","Q3","81","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","6"
"Journal of Iberian Geology","Journal of Iberian Geology","0.421","Q2","34","Earth and Planetary Sciences","Yes","exact","1.0","6"
"Spanish Journal of Palaeontology","Spanish Journal of Palaeontology","0.276","Q3","15","Earth and Planetary Sciences","Yes","exact","1.0","6"
"Genetics and Molecular Biology","Genetics and Molecular Biology","0.444","Q3","65","Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","6"
"Frontiers in Physiology","Frontiers in Physiology","1.023","Q2","175","Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","6"
"Frontiers in Genetics","Frontiers in Genetics","0.863","Q2","135","Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","6"
"Journal of Structural Biology","Journal of Structural Biology","1.822","Q1","166","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","6"
"American Journal of Anatomy","American Journal of Botany","0.964","Q1","178","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","fuzzy","0.8679","6"
"Biology Open","Biology Open","0.723","Q1","61","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","6"
"Proceedings of the Royal Society B-Biological Sciences","Proceedings of the Royal Society B: Biological Sciences","1.45","Q1","302","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science; Immunology and Microbiology; Medicine","No","exact","1.0","6"
"Annals of Carnegie Museum","Annals of Carnegie Museum","0.268","Q3","31","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","6"
"Pakistan Journal of Zoology","Pakistan Journal of Zoology","0.202","Q4","36","Agricultural and Biological Sciences","No","exact","1.0","6"
"Reproduction","Reproduction","1.096","Q1","177","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","6"
"Biology of Reproduction","Biology of Reproduction","0.988","Q1","210","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","6"
"Life Sciences","Life Sciences","1.315","Q1","200","Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics","Yes","exact","1.0","6"
"Biophysical Journal","Biophysical Journal","1.112","Q1","301","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","6"
"Ambio","Ambio","1.862","Q1","162","Environmental Science; Medicine; Social Sciences","No","exact","1.0","6"
"Acta Parasitologica Polonica","Acta Palaeontologica Polonica","0.665","Q1","65","Earth and Planetary Sciences","Yes","fuzzy","0.8772","5"
"Journal of the Egyptian Society of Parasitology","Journal of the Belgian Society of Radiology","0.191","Q4","28","Medicine","Yes","fuzzy","0.8889","5"
"Journal of Coastal Conservation","Journal of Coastal Conservation","0.521","Q2","55","Earth and Planetary Sciences; Environmental Science","No","exact","1.0","5"
"Bulletin de la Société Neuchâteloise des Sciences Naturelles","Bulletin de la Societe Vaudoise des Sciences Naturelles","0.188","Q3","11","Multidisciplinary","No","fuzzy","0.9043","5"
"Journal of Environmental Management","Journal of Environmental Management","1.994","Q1","268","Environmental Science; Medicine","No","exact","1.0","5"
"Journal of Maps","Journal of Maps","0.61","Q2","51","Earth and Planetary Sciences; Social Sciences","Yes","exact","1.0","5"
"Biodiversitas","Biodiversitas","0.366","Q2","33","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","5"
"Newsletters on Stratigraphy","Newsletters on Stratigraphy","0.932","Q1","43","Earth and Planetary Sciences","No","exact","1.0","5"
"Elife","eLife","3.379","Q1","225","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience","Yes","exact","1.0","5"
"Journal of the Royal Society of Western Australia","Journal of the Royal Society of Western Australia","0.236","Q2","30","Multidisciplinary","No","exact","1.0","5"
"Helgoland Marine Research","Helgoland Marine Research","0.245","Q3","61","Agricultural and Biological Sciences; Earth and Planetary Sciences","Yes","exact","1.0","5"
"Ecological Informatics","Ecological Informatics","1.491","Q1","88","Agricultural and Biological Sciences; Computer Science; Environmental Science; Mathematics","Yes","exact","1.0","5"
"Journal of Food Processing and Preservation","Journal of Food Processing and Preservation","0.573","Q2","71","Agricultural and Biological Sciences; Chemical Engineering; Chemistry","No","exact","1.0","5"
"Developmental Dynamics","Developmental Dynamics","0.857","Q2","158","Biochemistry, Genetics and Molecular Biology","No","exact","1.0","5"
"Acta Amazonica","Acta Amazonica","0.32","Q2","39","Agricultural and Biological Sciences","Yes","exact","1.0","5"
"Bulletin of Geosciences","Bulletin of Geosciences","0.62","Q2","42","Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","5"
"Bulletin of the European Association of Fish Pathologists","Bulletin of the European Association of Fish Pathologists","0.205","Q3","44","Agricultural and Biological Sciences; Veterinary","No","exact","1.0","5"
"Atoll Research Bulletin","Atoll Research Bulletin","0.116","Q4","31","Earth and Planetary Sciences","No","exact","1.0","5"
"Journal of Threatened Taxa","Journal of Threatened Taxa","0.262","Q3","17","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","5"
"Life","Life","0.824","Q1","69","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences","Yes","exact","1.0","5"
"Genome Biology and Evolution","Genome Biology and Evolution","1.173","Q1","103","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","5"
"European Journal of Immunology","European Journal of Immunology","1.86","Q1","232","Immunology and Microbiology; Medicine","No","exact","1.0","5"
"People and Nature","People and Nature","1.621","Q1","46","Agricultural and Biological Sciences","Yes","exact","1.0","5"
"Gayana","Gayana","0.225","Q3","21","Agricultural and Biological Sciences","Yes","exact","1.0","5"
"Spixiana","Spixiana","0.236","Q3","17","Agricultural and Biological Sciences","No","exact","1.0","5"
"Journal of Environmental Radioactivity","Journal of Environmental Radioactivity","0.626","Q2","112","Environmental Science; Medicine","No","exact","1.0","5"
"Environmental Toxicology and Chemistry","Environmental Toxicology and Chemistry","1.505","Q1","200","Environmental Science","No","exact","1.0","5"
"iScience","iScience","1.363","Q1","97","Multidisciplinary","Yes","exact","1.0","5"
"Revista Da Sociedade Brasileira De Medicina Tropical","Revista da Sociedade Brasileira de Medicina Tropical","0.495","Q2","66","Immunology and Microbiology; Medicine","Yes","exact","1.0","5"
"Earth and Planetary Science Letters","Earth and Planetary Science Letters","2.254","Q1","301","Earth and Planetary Sciences","No","exact","1.0","5"
"Food Science and Biotechnology","Food Science and Biotechnology","0.713","Q2","69","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology","No","exact","1.0","5"
"Toxins","Toxins","1.051","Q1","128","Environmental Science; Pharmacology, Toxicology and Pharmaceutics","Yes","exact","1.0","5"
"Experimental Parasitology","Experimental Parasitology","0.414","Q3","88","Immunology and Microbiology; Medicine","No","exact","1.0","5"
"Aquatic Ecology","Aquatic Ecology","0.567","Q2","72","Agricultural and Biological Sciences","No","exact","1.0","5"
"BMC Ecology and Evolution","BMC Ecology and Evolution","0.823","Q1","153","Agricultural and Biological Sciences; Environmental Science","Yes","exact","1.0","5"
"Palaeogeography Palaeoclimatology Palaeoecology","Palaeogeography, Palaeoclimatology, Palaeoecology","0.997","Q1","184","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","exact","1.0","5"
"Journal of Forensic and Legal Medicine","Journal of Forensic and Legal Medicine","0.457","Q1","61","Medicine; Social Sciences","No","exact","1.0","5"
"Biological Reviews","Biological Reviews","4.383","Q1","211","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","5"
"Physiological Zoology","Physiological Entomology","0.477","Q2","67","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","fuzzy","0.8889","5"
"American Midland Naturalist","American Midland Naturalist","0.261","Q3","58","Agricultural and Biological Sciences","No","exact","1.0","5"
"Swiss Journal of Geosciences","Swiss Journal of Geosciences","0.722","Q1","69","Earth and Planetary Sciences","Yes","exact","1.0","5"
"Genetica","Genetica","0.391","Q2","96","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","5"
"Journal of the Bombay Natural History Society","Journal of the Bombay Natural History Society","0.116","Q4","8","Environmental Science","No","exact","1.0","5"
"Frontiers in Cell and Developmental Biology","Frontiers in Cell and Developmental Biology","1.608","Q1","123","Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","5"
"Fish Physiology","Fish Physiology","","-","68","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","exact","1.0","5"
"Journal of Marine Biology","Journal of Avian Biology","0.687","Q1","89","Agricultural and Biological Sciences","Yes","fuzzy","0.898","5"
"Geologica Carpathica","Geologica Carpathica","0.526","Q2","49","Earth and Planetary Sciences","Yes","exact","1.0","5"
"Water","Water (Switzerland)","0.752","Q1","123","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science; Social Sciences","Yes","exact","1.0","5"
"International Journal of Food Science and Technology","International Journal of Food Science and Technology","0.723","Q1","127","Agricultural and Biological Sciences; Engineering","Yes","exact","1.0","5"
"Human Ecology","Human Ecology","0.486","Q1","87","Arts and Humanities; Environmental Science; Medicine; Social Sciences","No","exact","1.0","5"
"Revista Española de Paleontología","Revista Espanola de Patologia","0.153","Q4","8","Medicine","No","fuzzy","0.9032","5"
"Veterinary Pathology","Veterinary Pathology","0.776","Q1","113","Veterinary","No","exact","1.0","5"
"Comparative Biochemistry and Physiology – Part D","Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics","0.598","Q1","52","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology","No","substring","0.95","5"
"Anais Da Academia Brasileira De Ciencias","Anais da Academia Brasileira de Ciencias","0.295","Q2","76","Multidisciplinary","Yes","exact","1.0","4"
"Frontiers in Zoology","Frontiers in Zoology","0.908","Q1","77","Agricultural and Biological Sciences","Yes","exact","1.0","4"
"New Zealand Journal of Zoology","New Zealand Journal of Zoology","0.287","Q3","40","Agricultural and Biological Sciences","No","exact","1.0","4"
"Physics of Fluids","Physics of Fluids","0.9","Q1","211","Chemical Engineering; Engineering; Physics and Astronomy","No","exact","1.0","4"
"Ecotoxicology","Ecotoxicology","0.732","Q2","113","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics","No","exact","1.0","4"
"Proc.","Proceedings - International Symposium on High-Performance Computer Architecture","2.216","-","106","Computer Science","No","substring","0.95","4"
"Estonian Journal of Earth Sciences","Estonian Journal of Earth Sciences","0.367","Q3","30","Earth and Planetary Sciences; Environmental Science","Yes","exact","1.0","4"
"Revista Brasileira De Paleontologia","Revista Brasileira de Paleontologia","0.385","Q3","23","Earth and Planetary Sciences","Yes","exact","1.0","4"
"Journal of The Marine Biological Association of The United Kingdom","Journal of the Marine Biological Association of the United Kingdom","0.355","Q3","81","Agricultural and Biological Sciences","No","exact","1.0","4"
"Behavioral Ecology","Behavioral Ecology","0.925","Q1","136","Agricultural and Biological Sciences","No","exact","1.0","4"
"Genomics","Genomics","0.847","Q2","160","Biochemistry, Genetics and Molecular Biology","Yes","exact","1.0","4"
"Calcified Tissue International","Calcified Tissue International","1.23","Q1","137","Biochemistry, Genetics and Molecular Biology; Medicine","No","exact","1.0","4"
"Iscience","iScience","1.363","Q1","97","Multidisciplinary","Yes","exact","1.0","4"
"Microorganisms","Microorganisms","1.009","Q2","112","Immunology and Microbiology; Medicine","Yes","exact","1.0","4"
"Frontiers In Veterinary Science","Frontiers in Veterinary Science","0.783","Q1","85","Veterinary","Yes","exact","1.0","4"
"Bulletin of the Saitama Museum of Natural History","Bulletin of the American Museum of Natural History","1.259","Q1","64","Agricultural and Biological Sciences; Environmental Science","Yes","fuzzy","0.9091","4"
"Acta Zoologica Bulgarica","Acta Zoologica Bulgarica","0.226","Q3","21","Agricultural and Biological Sciences","Yes","exact","1.0","4"
"Indian Journal of Geo–Marine Sciences","Indian Journal of Geo-Marine Sciences","0.176","Q4","43","Earth and Planetary Sciences","Yes","exact","1.0","4"
"Heredity","Heredity","1.073","Q2","140","Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","4"
"Micron","Micron","0.581","Q2","101","Biochemistry, Genetics and Molecular Biology; Materials Science; Physics and Astronomy","No","exact","1.0","4"
"Memoirs of the Museum Victoria","Memoirs of Museum Victoria","0.182","Q3","17","Agricultural and Biological Sciences; Earth and Planetary Sciences","No","fuzzy","0.9286","4"
"Geological Quarterly","Geological Quarterly","0.316","Q3","48","Earth and Planetary Sciences","No","exact","1.0","4"
"PLoS Biology","PLoS Biology","2.691","Q1","316","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience","Yes","exact","1.0","4"
"Studia Universitatis Babeş–Bolyai","Studia Universitatis Babes-Bolyai Chemia","0.161","Q4","16","Chemistry","Yes","fuzzy","0.8767","4"
"European Journal of Cell Biology","European Journal of Cell Biology","1.491","Q1","112","Biochemistry, Genetics and Molecular Biology; Medicine","Yes","exact","1.0","4"
